price,location,bedrooms,bathrooms,area,road_access,facing,floor,parking,furnish_status
29000000.0,"tikathali, lalitpur",6.0,4.0,1700.0,13.0,east,3.0,3,full-furnished
22000000.0,"imadol, lalitpur",6.0,4.0,1700.0,13.0,north,3.0,3,semi-furnished
22500000.0,"imadol, lalitpur",6.0,4.0,1700.0,13.0,east,3.0,3,semi-furnished
29500000.0,"shital height, lalitpur",6.0,4.0,1700.0,13.0,west,3.0,3,full-furnished
39000000.0,"tikathali, lalitpur",6.0,4.0,1700.0,13.0,south,3.0,3,full-furnished
55000000.0,"shital height, lalitpur",6.0,5.0,1700.0,16.0,south,3.0,3,full-furnished
17500000.0,"tikathali, lalitpur",5.0,3.0,1700.0,13.0,south,2.5,3,semi-furnished
75000000.0,"bhaisepati, lalitpur",5.0,3.0,1700.0,13.0,south,3.0,3,full-furnished
27000000.0,"tikathali, lalitpur",5.0,2.0,1700.0,13.0,west,3.0,3,semi-furnished
30000000.0,"bhangal , kathmandu",6.0,2.0,1000.0,14.0,south,3.0,3,un-furnished
34000000.0,"rajkulo, lalitpur",4.0,5.0,2800.0,18.0,west,3.0,6,semi-furnished
26000000.0,"lubhu, lalitpur",4.0,4.0,1700.0,13.0,north-east,3.0,5,semi-furnished
37500000.0,"bhangal , kathmandu",6.0,2.0,1000.0,14.0,north,3.0,3,un-furnished
50000000.0,"ganesh chowk, kathmandu",6.0,2.0,1000.0,14.0,north-west,3.0,3,semi-furnished
75000000.0,"ganesh chowk, kathmandu",5.0,2.0,1200.0,14.0,west,3.0,8,un-furnished
50000000.0,"samakhusi, kathmandu",8.0,4.0,1000.0,13.0,north-east,4.0,3,un-furnished
25000000.0,"pokhara, kaski",6.0,4.0,1700.0,13.0,south,3.0,3,semi-furnished
30000000.0,"rajkulo, lalitpur",4.0,3.0,1700.0,26.0,south-west,3.0,2,semi-furnished
28000000.0,"lubhu, lalitpur",4.0,4.0,2480.0,13.0,west,3.0,3,semi-furnished
31000000.0,"jyotinagar, kathmandu",6.0,3.0,1000.0,13.0,east,3.0,3,un-furnished
31000000.0,"dhapasi, kathmandu",6.0,3.0,1000.0,13.0,west,3.0,2,un-furnished
32500000.0,"chunikhel, kathmandu",6.0,4.0,1700.0,13.0,south-west,3.0,3,semi-furnished
72500000.0,"khumaltar, lalitpur",5.0,4.0,1700.0,13.0,north-east,2.5,8,semi-furnished
49000000.0,"ochu height, lalitpur",6.0,4.0,1700.0,20.0,north,3.0,3,full-furnished
34000000.0,"ochu height, lalitpur",5.0,3.0,1700.0,20.0,west,3.0,3,full-furnished
36500000.0,"ochu height, lalitpur",6.0,5.0,1700.0,20.0,south,3.5,4,full-furnished
35000000.0,"lamatar, lalitpur",6.0,4.0,1700.0,13.0,east,3.5,3,semi-furnished
30000000.0,"grande hospital, kathmandu",6.0,3.0,1000.0,13.0,west,3.0,3,semi-furnished
35000000.0,"ochu height, lalitpur",6.0,3.0,1700.0,20.0,south,3.0,3,semi-furnished
26000000.0,"bhaisepati, lalitpur",5.0,3.0,1700.0,13.0,south,3.0,3,semi-furnished
34000000.0,"shital height, lalitpur",6.0,4.0,1700.0,13.0,east,3.0,3,full-furnished
18000000.0,"ochu height, lalitpur",3.0,2.0,1700.0,13.0,south,1.5,3,un-furnished
30500000.0,"imadol, lalitpur",7.0,5.0,1700.0,13.0,east,3.0,3,semi-furnished
37500000.0,"imadol, lalitpur",6.0,4.0,1700.0,16.0,west,3.0,3,full-furnished
32000000.0,"bhandari marg, lalitpur",6.0,4.0,1700.0,13.0,south-west,3.0,3,semi-furnished
35000000.0,"bhandari marg, lalitpur",6.0,4.0,1700.0,13.0,west,3.0,3,semi-furnished
59000000.0,"shital height, lalitpur",7.0,4.0,1700.0,20.0,west,3.5,5,semi-furnished
