price,location,property_type,bedrooms,bathrooms,area,road_access,facing,floor,parking,furnish_status
Price on call,"Budhanilkantha, Kathmandu",,6,4,,13 Feet,North,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.2 Cr,"Imadol, Lalitpur",,5,3,,13 Feet,South,2.5,1 Car  & 2 Bikes,Un-Furnished
Rs. 40 Lac,"Bharatpur, Chitwan",,2,1,850 Sq. Ft.,20 Feet,East,1,1 Car  & 1 Bike,Un-Furnished
Rs. 3.15 Cr,"Sitapakha, Lalitpur",,5,4,,13 Feet,South-West,3,1 Car  & 2 Bikes,Full-Furnished
Rs. 3.85 Cr,"Hattigauda, Kathmandu",,8,3,1200 Sq. Ft.,13 Feet,East,3.5,1 Car  & 1 Bike,Semi-Furnished
Rs. 3.8 Cr,"Sundarbasti, Kathmandu",,6,3,1200 Sq. Ft.,13 Feet,West,3,2 Bikes,Semi-Furnished
Rs. 3.6 Cr,"Shital Height, Lalitpur",,5,3,,13 Feet,East,3,2 Cars  & 2 Bikes,Full-Furnished
Price on call,"Duwakot, Bhaktapur",,6,4,3500 Sq. Ft.,,South-West,3.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.75 Cr,"Pasikot, Kathmandu",,7,5,,13 Feet,North-West,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 4.2 Cr,"Pasikot, Kathmandu",,6,3,,13 Feet,North-West,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 4.3 Cr,"Dibyeshwori Townplanning, Bhaktapur",,5,3,,13 Feet,East,3.5,1 Car  & 2 Bikes,Full-Furnished
Rs. 2.95 Cr,"Tikathali, Lalitpur",,6,3,,13 Feet,East,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 2.6 Cr,"Tikathali, Lalitpur",,4,3,,13 Feet,East,2,2 Bikes,Un-Furnished
Rs. 5.5 Cr,"Imadol, Lalitpur",,6,4,,16 Feet,South,3,2 Cars,Full-Furnished
Rs. 4.6 Cr,"Imadol, Lalitpur",,6,4,,13 Feet,North,3,2 Cars,Full-Furnished
Rs. 3.25 Cr,"Imadol, Lalitpur",,5,4,,13 Feet,East,3,1 Car  & 2 Bikes,Full-Furnished
Rs. 3.25 Cr,"Tikathali, Lalitpur",,6,4,,13 Feet,North,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 2.35 Cr,"Tikathali, Lalitpur",,6,4,,13 Feet,North,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 5.25 Cr,"Bhaisepati, Lalitpur",,6,4,,20 Feet,West,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 4.1 Cr,"Bhaisepati, Lalitpur",,5,5,,14 Feet,South,2,,Semi-Furnished
Rs. 3.25 Cr,"Kusunti, Lalitpur",,6,,,13 Feet,North-East,2,,
Rs. 4.3 Cr,"Dholahiti, Lalitpur",,5,4,,14 Feet,North-West,2,1 Car  & 5 Bikes,Semi-Furnished
Rs. 3 Cr,"Tej Vinayak, Kathmandu",,5,3,,13 Feet,East,2.5,1 Car,Full-Furnished
Rs. 3.65 Cr,"Rajkulo, Lalitpur",,6,5,,20 Feet,East,3.5,1 Car  & 5 Bikes,Full-Furnished
Rs. 2.4 Cr,"Balkot, Bhaktapur",,5,4,,13 Feet,South-East,2.5,1 Car  & 4 Bikes,Semi-Furnished
Rs. 2.65 Cr,"Bhaisepati, Lalitpur",,5,6,,13 Feet,East,2.5,1 Car  & 5 Bikes,Full-Furnished
Rs. 4.65 Cr,"Bhaisepati, Lalitpur",,6,5,,13 Feet,East,3.5,1 Car  & 5 Bikes,Semi-Furnished
Rs. 3.8 Cr,"Imadol, Lalitpur",,6,5,,13 Feet,East,3,1 Car  & 3 Bikes,Full-Furnished
Rs. 3.8 Cr,"Imadol, Lalitpur",,6,5,,13 Feet,East,3,1 Car  & 3 Bikes,Full-Furnished
Rs. 4.9 Cr,"Bhangal , Kathmandu",,6,3,1200 Sq. Ft.,20 Feet,South,3,1 Car  & 2 Bikes,Full-Furnished
Rs. 2.95 Cr,"Tikathali, Lalitpur",,6,4,,13 Feet,East,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 2.35 Cr,"Tikathali, Lalitpur",,6,4,,13 Feet,North,3.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 2.3 Cr,"Balkot, Bhaktapur",,6,4,,11 Feet,South-East,2.5,1 Car  & 5 Bikes,Semi-Furnished
Rs. 3.4 Cr,"Tikathali, Lalitpur",,6,5,,13 Feet,South-East,3.5,1 Car  & 5 Bikes,Full-Furnished
Rs. 3.4 Cr,"Tikathali, Lalitpur",,6,5,,16 Feet,West,3.5,2 Cars  & 4 Bikes,Full-Furnished
Rs. 2.5 Cr,"Dadhikot, Bhaktapur",,6,4,2200 Sq. Ft.,12 Feet,West,3.5,1 Car  & 5 Bikes,Semi-Furnished
Rs. 2.95 Cr,"Tikathali, Lalitpur",,6,4,2700 Sq. Ft.,13 Feet,South-West,3.5,1 Car  & 4 Bikes,Semi-Furnished
Rs. 1.99 Cr,"Balkot, Bhaktapur",,6,4,2200 Sq. Ft.,13 Feet,South-West,3,1 Car  & 5 Bikes,Semi-Furnished
Rs. 1.8 Cr,"Tathali, Bhaktapur",,5,3,,13 Feet,South,2.5,2 Bikes,
Rs. 3.6 Cr,"Shital Height, Lalitpur",,6,4,,13 Feet,North,3,2 Cars  & 2 Bikes,Full-Furnished
Rs. 4.25 Cr,"Bhaisepati, Lalitpur",,5,4,,13 Feet,East,2.5,1 Car  & 5 Bikes,Semi-Furnished
Rs. 3.25 Cr,"Gothatar, Kathmandu",,6,5,,13 Feet,East,3,1 Car  & 5 Bikes,Semi-Furnished
Rs. 3.3 Cr,"Shital Height, Lalitpur",,6,5,,13 Feet,South,3.5,1 Car  & 5 Bikes,Full-Furnished
Rs. 3.45 Cr,"Shital Height, Lalitpur",,6,5,,13 Feet,North,3.5,1 Car  & 5 Bikes,Semi-Furnished
Rs. 2.75 Cr,"Sanagaun, Lalitpur",,6,5,,13 Feet,South,3.5,1 Car  & 5 Bikes,Semi-Furnished
Rs. 3.35 Cr,"Imadol, Lalitpur",,6,5,,16 Feet,West,3.5,1 Car  & 5 Bikes,Full-Furnished
Rs. 2.6 Cr,"Radhe Radhe, Bhaktapur",,6,5,,20 Feet,West,3.5,1 Car  & 5 Bikes,Semi-Furnished
Rs. 1.8 Cr,"Shital Height, Lalitpur",,5,3,,13 Feet,West,2.5,1 Car  & 5 Bikes,Semi-Furnished
Rs. 2.68 Cr,"Ochu Height, Lalitpur",,5,4,,13 Feet,West,2.5,1 Car  & 5 Bikes,Semi-Furnished
Rs. 9.5 Cr,"Balkot, Bhaktapur",,5,6,2700 Sq. Ft.,20 Feet,North,2.5,4 Cars  & 9 Bikes,Full-Furnished
Rs. 2.9 Cr,"Imadol, Lalitpur",,6,5,,13 Feet,West,3.5,1 Car  & 5 Bikes,Semi-Furnished
Rs. 2.75 Cr,"Tikathali, Lalitpur",,6,5,2600 Sq. Ft.,13 Feet,North-East,3.5,1 Car  & 4 Bikes,Semi-Furnished
Rs. 4.25 Cr,"Grande Hospital, Kathmandu",,6,3,1200 Sq. Ft.,13 Feet,East,3,1 Car  & 2 Bikes,Un-Furnished
Rs. 2.9 Cr,"Bhutkhel , Kathmandu",,5,3,1000 Sq. Ft.,13 Feet,West,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 4.35 Cr,"Grande Hospital, Kathmandu",,5,3,1200 Sq. Ft.,20 Feet,East,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.7 Cr,"Samakhusi, Kathmandu",,7,3,1000 Sq. Ft.,16 Feet,East,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.85 Cr,"Pasikot, Kathmandu",,6,3,,13 Feet,North,2,1 Car  & 2 Bikes,Full-Furnished
Rs. 1.9 Cr,"Imadol, Lalitpur",,3,2,2200 Sq. Ft.,13 Feet,North,2,4 Bikes,Semi-Furnished
Rs. 3 Cr,"Tathali, Bhaktapur",,7,5,2700 Sq. Ft.,20 Feet,South-West,3.5,2 Cars  & 5 Bikes,Full-Furnished
Rs. 2.99 Cr,"Lubhu, Lalitpur",,6,5,2500 Sq. Ft.,13 Feet,North-East,3.5,1 Car  & 5 Bikes,Semi-Furnished
Rs. 2.3 Cr,"Sirutar, Bhaktapur",,6,4,2200 Sq. Ft.,10 Feet,North,3,1 Car  & 5 Bikes,Semi-Furnished
Rs. 3.65 Cr,"Bhangal , Kathmandu",,6,5,2800 Sq. Ft.,14 Feet,North,3.5,2 Cars  & 5 Bikes,Semi-Furnished
Rs. 3.65 Cr,"Shital Height, Lalitpur",,5,,,16 Feet,East,3,,Full-Furnished
Rs. 4.25 Cr,"Budhanilkantha, Kathmandu",,6,4,,13 Feet,North-West,3,2 Cars  & 3 Bikes,Semi-Furnished
Rs. 12 Cr,"Budhanilkantha, Kathmandu",,5,3,,20 Feet,South,2,3 Cars  & 3 Bikes,Semi-Furnished
Rs. 1.1 Lac/m,"Hattiban, Lalitpur",,2,2,,13 Feet,South,2.5,1 Car  & 2 Bikes,Full-Furnished
Rs. 1.2 Lac/m,"Budhanilkantha, Kathmandu",,5,3,,13 Feet,South,2.5,1 Car  & 2 Bikes,Full-Furnished
Rs. 3.9 Cr,"Hattigauda, Kathmandu",,5,,,13 Feet,North-East,2.5,,Semi-Furnished
Rs. 3 Cr,"Balkot, Bhaktapur",,6,4,,13 Feet,South,3.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.45 Cr,"Grande Hospital, Kathmandu",,6,3,1000 Sq. Ft.,13 Feet,South,3,1 Car  & 2 Bikes,Un-Furnished
Rs. 1.6 Cr,"Sipadol, Bhaktapur",,4,,,10 Feet,East,2,,Semi-Furnished
Rs. 4.15 Cr,"Shankhamul, Kathmandu",,7,5,,13 Feet,North,3.5,1 Car  & 2 Bikes,Un-Furnished
Rs. 4.5 Cr,"Baneshwor, Kathmandu",,8,5,,13 Feet,North,2.5,1 Car  & 2 Bikes,Un-Furnished
Rs. 4.9 Cr,"Ganesh Chowk, Kathmandu",,6,3,1200 Sq. Ft.,23 Feet,South,3,1 Car  & 2 Bikes,Un-Furnished
Rs. 3.85 Cr,"Pasikot, Kathmandu",,6,3,,13 Feet,North,2,1 Car  & 2 Bikes,Full-Furnished
Rs. 7.75 Cr,"Italitar, Kathmandu",,5,2,1200 Sq. Ft.,15 Feet,South-East,3,2 Cars  & 5 Bikes,Un-Furnished
Rs. 4.15 Cr,"Shital Height, Lalitpur",,6,5,2800 Sq. Ft.,13 Feet,North-East,3.5,1 Car  & 5 Bikes,Full-Furnished
Rs. 2.1 Cr,"Lamatar, Lalitpur",,4,3,2700 Sq. Ft.,26 Feet,West,2,1 Car  & 4 Bikes,Semi-Furnished
Rs. 2.95 Cr,"Gothatar, Kathmandu",,5,3,,13 Feet,East,2.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.45 Cr,"Shital Height, Lalitpur",,6,5,2700 Sq. Ft.,13 Feet,North,3.5,1 Car  & 5 Bikes,Semi-Furnished
Rs. 4.25 Cr,"Imadol, Lalitpur",,5,4,2700 Sq. Ft.,20 Feet,East,2.5,1 Car  & 5 Bikes,Semi-Furnished
Rs. 2.3 Cr,"Sanagaun, Lalitpur",,6,4,2200 Sq. Ft.,13 Feet,South-East,2.5,1 Car  & 5 Bikes,Semi-Furnished
Price on call,"Shital Height, Lalitpur",,6,6,2700 Sq. Ft.,13 Feet,South-West,3.5,2 Cars  & 5 Bikes,Full-Furnished
Rs. 2.5 Cr,"Shital Height, Lalitpur",,6,4,,13 Feet,South,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.75 Cr,"Tikathali, Lalitpur",,6,5,2700 Sq. Ft.,20 Feet,West,3.5,2 Cars  & 5 Bikes,Semi-Furnished
Rs. 3.25 Cr,"Budhanilkantha, Kathmandu",,,6,,20 Feet,South,2,3 Bikes,Semi-Furnished
Rs. 4.15 Cr,"Chunikhel, Kathmandu",,6,6,,13 Feet,North-West,2,4 Bikes,Semi-Furnished
Rs. 2.8 Cr,"Kageshwori, Kathmandu",,6,4,,13 Feet,West,2,,Semi-Furnished
Rs. 2.75 Cr,"Megha City, Kathmandu",,5,2,1200 Sq. Ft.,20 Feet,West,3,1 Car  & 2 Bikes,Un-Furnished
Rs. 1.65 Cr,"Megha City, Kathmandu",,2,2,800 Sq. Ft.,10 Feet,West,1.5,1 Car  & 2 Bikes,Un-Furnished
Rs. 3.3 Cr,"Dhunchepakha, Bhaktapur",,6,3,,13 Feet,North-West,2.5,2 Bikes,Un-Furnished
Rs. 3.1 Cr,"Chardobato, Bhaktapur",,7,3,,12 Feet,South,2.5,2 Bikes,Un-Furnished
Rs. 4.65 Cr,"Chunikhel, Kathmandu",,7,4,,13 Feet,East,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 4.45 Cr,"Chunikhel, Kathmandu",,7,4,,13 Feet,North-East,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 2.55 Cr,"Balkot, Bhaktapur",,6,4,,13 Feet,West,3,1 Car  & 2 Bikes,Un-Furnished
Rs. 2.1 Cr,"Balkot, Bhaktapur",,5,3,,11 Feet,East,2.5,2 Bikes,Un-Furnished
Rs. 2.7 Cr,"Dadhikot, Bhaktapur",,5,3,,13 Feet,South,2.5,2 Bikes,Un-Furnished
Rs. 3.9 Cr,"Katunje, Bhaktapur",,7,5,2700 Sq. Ft.,13 Feet,South,3.5,1 Car  & 4 Bikes,Full-Furnished
Rs. 3.3 Cr,"Gatthaghar, Bhaktapur",,6,3,,13 Feet,East,,2 Bikes,Un-Furnished
Rs. 2.25 Cr,"Balkot, Bhaktapur",,5,4,2200 Sq. Ft.,13 Feet,North,3,1 Car  & 4 Bikes,Semi-Furnished
Rs. 3.6 Cr,"Gatthaghar, Bhaktapur",,8,4,,13 Feet,East,4,,Un-Furnished
Rs. 3.7 Cr,"Balkot, Bhaktapur",,6,3,,13 Feet,South,3.5,2 Bikes,Un-Furnished
Rs. 3.25 Cr,"Sanothimi, Bhaktapur",,5,4,,16 Feet,South,2.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 5.3 Cr,"Chapali, Kathmandu",,6,4,,13 Feet,West,3.5,2 Cars  & 2 Bikes,Semi-Furnished
Rs. 4.35 Cr,"Lasuntar, Kathmandu",,6,4,,13 Feet,North-West,3.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 7.75 Cr,"Italitar, Kathmandu",,5,3,,13 Feet,South,2.5,3 Cars  & 2 Bikes,Full-Furnished
Rs. 3.25 Cr,"Chunikhel, Kathmandu",,6,5,,13 Feet,East,3.5,1 Car  & 2 Bikes,Full-Furnished
Rs. 3.97 Cr,"Chunikhel, Kathmandu",,6,4,,20 Feet,East,3.5,2 Cars  & 2 Bikes,Full-Furnished
Rs. 3.15 Cr,"Pasikot, Kathmandu",,6,4,,13 Feet,North,2.5,1 Car  & 2 Bikes,Full-Furnished
Rs. 4.75 Cr,"Budhanilkantha, Kathmandu",,6,4,,13 Feet,South,2.5,2 Cars  & 3 Bikes,Semi-Furnished
Rs. 1.29 Cr,"Bramhakhel, Kathmandu",,2,,,20 Feet,North,1,,
Rs. 2.1 Cr,"Uttarbahini, Kathmandu",,5,4,,13 Feet,South-West,2,,Semi-Furnished
Rs. 6.75 Cr,"Bafal, Kathmandu",,5,2,,18 Feet,West,2.5,3 Cars  & 5 Bikes,Semi-Furnished
Rs. 4.75 Cr,"Mahankal, Kathmandu",,6,4,,16 Feet,North-East,3,2 Cars  & 2 Bikes,Semi-Furnished
Rs. 4.5 Cr,"Chunikhel, Kathmandu",,6,4,,13 Feet,North-East,4,1 Car  & 2 Bikes,Semi-Furnished
Rs. 2.8 Cr,"Chunikhel, Kathmandu",,4,4,,11 Feet,South,3,2 Bikes,Semi-Furnished
Rs. 5.25 Cr,"Bhangal , Kathmandu",,7,5,,13 Feet,East,3,2 Cars  & 2 Bikes,Semi-Furnished
Rs. 1.65 Cr,"Nayapati, Kathmandu",,2,,,24 Feet,North-West,1,1 Car  & 3 Bikes,
Rs. 2.8 Cr,"Sipadol, Bhaktapur",,7,,-1 Sq. Ft.,13 Feet,West,4,,Semi-Furnished
Rs. 7.5 Cr,"Kapan, Kathmandu",,5,4,,12 Feet,South-East,3.5,,Semi-Furnished
Price on call,"Gothatar, Kathmandu",,6,6,,20 Feet,East,4,2 Cars  & 5 Bikes,Full-Furnished
Rs. 3.15 Cr,"Baluwakhani, Kathmandu",,8,3,1200 Sq. Ft.,13 Feet,South,3,1 Car  & 2 Bikes,Un-Furnished
Rs. 1.99 Cr,"Balkot, Bhaktapur",,6,3,2700 Sq. Ft.,13 Feet,South-West,2.5,1 Car  & 5 Bikes,Semi-Furnished
Rs. 2.7 Cr,"Chunikhel, Kathmandu",,5,3,1200 Sq. Ft.,13 Feet,North-West,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 5.3 Cr,"Chapali, Kathmandu",,6,3,1200 Sq. Ft.,13 Feet,South-West,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 5 Cr,"Lolang, Kathmandu",,4,4,,8 Feet,,3.5,1 Car  & 5 Bikes,Full-Furnished
Rs. 4.25 Cr,"Dhapasi, Kathmandu",,7,3,1200 Sq. Ft.,10 Feet,North-West,3,1 Car  & 2 Bikes,Un-Furnished
Rs. 3.1 Cr,"Imadol, Lalitpur",,5,5,,13 Feet,West,3.5,1 Car  & 3 Bikes,Full-Furnished
Rs. 3.5 Cr,"Gothatar, Kathmandu",,6,,,14 Feet,West,4,,Semi-Furnished
Rs. 2.7 Cr,"Tikathali, Lalitpur",,5,5,,11 Feet,West,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 4.5 Cr,"Machhe Gaun, Kathmandu",,5,5,,16 Feet,South,2.5,,
Rs. 2.8 Cr,"Harisiddhi, Lalitpur",,5,5,,20 Feet,West,3,,Semi-Furnished
Rs. 3.5 Cr,"Gothatar, Kathmandu",,6,,,14 Feet,West,3,2 Cars  & 4 Bikes,Semi-Furnished
"Rs. 90,000 /m","Nakhipot, Lalitpur",,4,4,,20 Feet,South-East,3,1 Car  & 2 Bikes,Full-Furnished
Rs. 4 Lac/m,"Jhamsikhel, Lalitpur",,4,2,,,,2,2 Cars  & 4 Bikes,Full-Furnished
Rs. 1.5 Lac/m,"Baluwakhani, Kathmandu",,4,2,,,,2,2 Cars  & 2 Bikes,Full-Furnished
Rs. 2.5 Cr,"Balkot, Bhaktapur",,7,4,,10 Feet,East,3.5,1 Car  & 2 Bikes,Un-Furnished
Rs. 3.1 Cr,"Gatthaghar, Bhaktapur",,6,4,,13 Feet,East,3.5,3 Bikes,Un-Furnished
Rs. 2.5 Lac/m,"Kupandole, Lalitpur",,4,3,,,,2,2 Cars  & 5 Bikes,Full-Furnished
Rs. 1.3 Lac/m,"Kupandole, Lalitpur",,10,3,,,,3,4 Cars  & 5 Bikes,Full-Furnished
Rs. 1.25 Lac/m,"Nakkhu, Lalitpur",,4,3,,,,2.5,2 Cars  & 4 Bikes,Un-Furnished
Rs. 4.35 Cr,"Chunikhel, Kathmandu",,6,2,1200 Sq. Ft.,16 Feet,South-East,3,1 Car  & 4 Bikes,Un-Furnished
Rs. 6.99 Cr,"Khumaltar, Lalitpur",,4,5,,13 Feet,North-East,2.5,,Full-Furnished
Rs. 3.5 Cr,"Lubhu, Lalitpur",,10,4,1330 Sq. Ft.,20 Feet,North-East,3.5,2 Cars  & 2 Bikes,Full-Furnished
Rs. 2.7 Cr,"Lamatar, Lalitpur",,4,3,1300 Sq. Ft.,18 Feet,North-West,2.5,1 Car  & 5 Bikes,Full-Furnished
Rs. 2.4 Cr,"Balkot, Bhaktapur",,5,3,,10 Feet,East,3,2 Bikes,Un-Furnished
Rs. 2.9 Cr,"Tikathali, Lalitpur",,6,5,2800 Sq. Ft.,13 Feet,South-West,3.5,1 Car  & 5 Bikes,Semi-Furnished
Rs. 2.5 Cr,"Suryabinayak, Bhaktapur",,6,4,2700 Sq. Ft.,12 Feet,West,3.5,1 Car  & 5 Bikes,Semi-Furnished
Rs. 3.4 Cr,"Tikathali, Lalitpur",,6,5,2800 Sq. Ft.,16 Feet,West,3.5,2 Cars  & 4 Bikes,Full-Furnished
Rs. 3.4 Cr,"Tikathali, Lalitpur",,6,5,2800 Sq. Ft.,13 Feet,South-East,3.5,1 Car  & 5 Bikes,Full-Furnished
Rs. 3.15 Cr,"Chunikhel, Kathmandu",,7,5,,13 Feet,East,3,2 Cars  & 3 Bikes,Full-Furnished
Rs. 3.65 Cr,"Bhangal , Kathmandu",,6,4,,13 Feet,North-West,3,1 Car  & 2 Bikes,Semi-Furnished
"Rs. 75,000 /m","Maitrinagar, Kathmandu",,3,4,,13 Feet,South,2,2 Bikes,Full-Furnished
Rs. 5 Lac/m,"Imadol, Lalitpur",,,,,,,2.5,2 Cars  & 4 Bikes,Un-Furnished
Rs. 3 Lac/m,"Sanepa, Lalitpur",,,,,,,3.5,2 Cars  & 4 Bikes,Full-Furnished
Rs. 5 Lac/m,"Sanepa, Lalitpur",,,,,,,2.5,2 Cars  & 4 Bikes,Un-Furnished
Price on call,"Budhanilkantha, Kathmandu",,6,4,,13 Feet,South,3,2 Cars  & 3 Bikes,Semi-Furnished
Rs. 2.5 Cr,"Gatthaghar, Bhaktapur",,10,4,,13 Feet,North-East,3,1 Car  & 2 Bikes,Un-Furnished
Rs. 2.5 Cr,"Gatthaghar, Bhaktapur",,6,4,,13 Feet,North-West,4,1 Car  & 2 Bikes,Un-Furnished
Rs. 3.2 Cr,"Gatthaghar, Bhaktapur",,7,4,,20 Feet,West,3,1 Car  & 2 Bikes,Un-Furnished
Rs. 3.85 Cr,"Hattigauda, Kathmandu",,6,4,,13 Feet,North,3,2 Cars  & 2 Bikes,Semi-Furnished
Rs. 3.5 Cr,"Budhanilkantha, Kathmandu",,6,4,,13 Feet,North,3,2 Cars  & 3 Bikes,Semi-Furnished
Rs. 4 Cr,"Thaiba, Lalitpur",,6,4,,20 Feet,East,3.5,1 Car,Semi-Furnished
Rs. 3.85 Cr,"Bhangal , Kathmandu",,6,4,,13 Feet,North,2.5,1 Car  & 2 Bikes,Full-Furnished
Rs. 3.65 Cr,"Bhangal , Kathmandu",,6,4,,13 Feet,North-West,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.9 Cr,"Bojepokhari, Lalitpur",,7,4,,20 Feet,East,3,1 Car  & 2 Bikes,Full-Furnished
Rs. 2.5 Cr,"Imadol, Lalitpur",,8,5,,13 Feet,East,4,2 Cars  & 3 Bikes,Un-Furnished
Rs. 3.1 Cr,"Imadol, Lalitpur",,5,3,,13 Feet,North-West,3,1 Car  & 2 Bikes,Full-Furnished
Rs. 5.25 Cr,"Bhangal , Kathmandu",,6,3,1200 Sq. Ft.,13 Feet,South,3,2 Cars  & 2 Bikes,Semi-Furnished
Rs. 4.7 Cr,"Bhangal , Kathmandu",,6,3,1200 Sq. Ft.,13 Feet,South-East,3,1 Car  & 5 Bikes,Un-Furnished
Rs. 3.9 Cr,"Greenland Chowk, Kathmandu",,7,3,1200 Sq. Ft.,16 Feet,East,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.8 Cr,"Imadol, Lalitpur",,6,4,,14 Feet,South-East,3,1 Car  & 2 Bikes,Full-Furnished
Price on call,"Bhairahawa, Rupandehi",,2,1,916 Sq. Ft.,,East,1,1 Car  & 6 Bikes,Full-Furnished
Rs. 4.6 Cr,"Bhaisepati, Lalitpur",,6,4,,13 Feet,East,3,1 Car  & 2 Bikes,Full-Furnished
Rs. 3.85 Cr,"Tikathali, Lalitpur",,6,4,,13 Feet,North-East,3.5,2 Cars  & 3 Bikes,Semi-Furnished
Rs. 1.75 Cr,"Imadol, Lalitpur",,,,,13 Feet,South-West,1.5,,
Rs. 1.5 Lac/m,"Vinayak Colony, Lalitpur",,5,3,,13 Feet,South,2.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 4.75 Cr,"Ochu Height, Lalitpur",,6,4,,26 Feet,South,3.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 2.75 Cr,"Ochu Height, Lalitpur",,6,4,,13 Feet,South,2.5,1 Car  & 2 Bikes,Un-Furnished
Rs. 1.2 Lac/m,"Pepsicola, Kathmandu",,4,3,,,,2.5,1 Car  & 3 Bikes,Full-Furnished
Rs. 1.65 Cr,"Sanagaun, Lalitpur",,3,2,,13 Feet,South,1.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 2.5 Cr,"Lubhu, Lalitpur",,7,5,,13 Feet,South-West,3.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.5 Cr,"Lubhu, Lalitpur",,8,5,,32 Feet,South-East,3.5,1 Car  & 3 Bikes,Semi-Furnished
Rs. 2.5 Cr,"Imadol, Lalitpur",,8,6,,13 Feet,East,4,2 Cars  & 2 Bikes,Semi-Furnished
Rs. 4.9 Cr,"Imadol, Lalitpur",,5,5,3300 Sq. Ft.,14 Feet,North,3.5,2 Cars  & 4 Bikes,Full-Furnished
Rs. 2.85 Cr,"Tikathali, Lalitpur",,5,5,2440 Sq. Ft.,13 Feet,West,3.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 2.25 Cr,"Tikathali, Lalitpur",,6,3,2100 Sq. Ft.,10 Feet,North,3.5,2 Cars  & 4 Bikes,Semi-Furnished
Rs. 3 Cr,"Bhaisepati, Lalitpur",,4,3,,22 Feet,South-East,3,2 Cars  & 2 Bikes,Un-Furnished
Rs. 2 Lac/m,"Mid Baneshwor, Kathmandu",,8,4,,,,2,2 Cars  & 6 Bikes,Semi-Furnished
Rs. 3.75 Cr,"Shital Height, Lalitpur",,5,3,,13 Feet,South,3,1 Car  & 3 Bikes,Full-Furnished
Rs. 5.5 Cr,"Bhaisepati, Lalitpur",,5,3,,13 Feet,South,3,3 Cars  & 4 Bikes,Semi-Furnished
Rs. 2.55 Cr,"Tikathali, Lalitpur",,6,4,,13 Feet,West,3.5,2 Cars  & 3 Bikes,Semi-Furnished
Rs. 3 Lac/m,"Sanepa, Lalitpur",,4,3,2600 Sq. Ft.,,,2,2 Cars  & 5 Bikes,Full-Furnished
Rs. 3.75 Cr,"Imadol, Lalitpur",,6,3,,13 Feet,North-East,3,1 Car  & 1 Bike,Full-Furnished
Rs. 15 Cr,"Mahalaxmisthan, Lalitpur",,5,3,,13 Feet,South-East,2,3 Cars  & 3 Bikes,Semi-Furnished
Rs. 2.6 Cr,"Megha City, Kathmandu",,6,3,1200 Sq. Ft.,13 Feet,South,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 4.5 Cr,"Shital Height, Lalitpur",,6,4,,18 Feet,South-West,3.5,2 Cars  & 3 Bikes,Full-Furnished
Rs. 1.1 Lac/m,"Narayanthan , Kathmandu",,3,4,1800 Sq. Ft.,13 Feet,South,2,3 Cars  & 4 Bikes,Full-Furnished
Rs. 2.75 Cr,"Shital Height, Lalitpur",,6,4,,13 Feet,South,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.5 Cr,"Grande Hospital, Kathmandu",,4,3,1000 Sq. Ft.,14 Feet,South,2.5,1 Car  & 3 Bikes,Un-Furnished
Rs. 3.65 Cr,"Bojepokhari, Lalitpur",,5,5,2768 Sq. Ft.,13 Feet,East,3,1 Car  & 2 Bikes,Full-Furnished
Rs. 2.55 Cr,"Siddhipur, Lalitpur",,7,4,2433 Sq. Ft.,20 Feet,South,3.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 1.9 Cr,"Shital Height, Lalitpur",,5,3,1993 Sq. Ft.,13 Feet,North,3,1 Car  & 2 Bikes,Semi-Furnished
