price,location,property_type,bedrooms,bathrooms,area,road_access,facing,floor,parking,furnish_status
Rs. 4.9 Cr,"Budhanilkantha, Kathmandu",,5,3,,20 Feet,South,3,1 Car  & 2 Bikes,Full-Furnished
Rs. 2.7 Cr,"Tikathali, Lalitpur",,4,4,,14 Feet,West,3,1 Car  & 3 Bikes,Semi-Furnished
Rs. 2.15 Cr,"Harisiddhi, Lalitpur",,5,3,,13 Feet,East,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.89 Cr,"Tikathali, Lalitpur",,6,4,,24 Feet,West,3,3 Cars  & 2 Bikes,Full-Furnished
Rs. 1.4 Cr,"Ratnanagar, Chitwan",,3,2,775 Sq. Ft.,4 Meter,West,2.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.35 Cr,"Tikathali, Lalitpur",,6,5,,13 Feet,West,3,2 Cars  & 4 Bikes,Semi-Furnished
"Rs. 95,000 /m","Nakhipot, Lalitpur",,4,5,,,,2.5,2 Cars  & 9 Bikes,Semi-Furnished
Rs. 2 Cr,"Thimi, Bhaktapur",,4,3,,20 Feet,South,3,,Semi-Furnished
Rs. 4.2 Cr,"Pepsicola, Kathmandu",,4,3,,20 Feet,East,2.5,,Semi-Furnished
Rs. 4.15 Cr,"Imadol, Lalitpur",,4,3,,18 Feet,East,3,1 Car,Full-Furnished
Rs. 2.2 Cr,"Mulpani, Kathmandu",,4,3,,12 Feet,North,2.5,2 Bikes,Semi-Furnished
Rs. 2.55 Cr,"Bhandari Marg, Lalitpur",,6,4,,13 Feet,South,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 2.7 Cr,"Shital Height, Lalitpur",,6,4,,13 Feet,East,3,1 Car  & 2 Bikes,Full-Furnished
Rs. 3.9 Cr,"Shital Height, Lalitpur",,6,5,,20 Feet,North,3,1 Car  & 2 Bikes,Full-Furnished
Rs. 14 Cr,"Bagbazar, Kathmandu",,,,,,,,,
Rs. 7.15 Cr,"Buddhanagar, Kathmandu",,6,6,,,West,3.5,3 Cars  & 8 Bikes,Full-Furnished
Rs. 3.65 Cr,"Bojepokhari, Lalitpur",,6,5,,16 Feet,East,3.5,1 Car  & 3 Bikes,Full-Furnished
Rs. 2.7 Cr,"Megha City, Kathmandu",,6,2,1000 Sq. Ft.,13 Feet,South,3,1 Car  & 2 Bikes,Un-Furnished
Rs. 3.25 Cr,"Shital Height, Lalitpur",,6,5,,14 Feet,West,3.5,1 Car  & 1 Bike,Full-Furnished
Rs. 2.25 Cr,"Baseni, Chitwan",,8,4,,,East,3,2 Cars  & 2 Bikes,
Rs. 3 Cr,"Jadibuti, Kathmandu",,8,4,,13 Feet,East,2.5,1 Car  & 3 Bikes,Semi-Furnished
Rs. 6.25 Cr,"Koteshwor, Kathmandu",,5,4,,18 Feet,South-East,3,1 Car  & 3 Bikes,Full-Furnished
Rs. 5.5 Cr,"Koteshwor, Kathmandu",,5,4,,18 Feet,South-West,3,1 Car  & 3 Bikes,Full-Furnished
Rs. 1.65 Cr,"Lubhu, Lalitpur",,1,1,,20 Feet,West,1.5,1 Car  & 2 Bikes,Un-Furnished
Rs. 4.5 Cr,"Harisiddhi, Lalitpur",,6,5,,20 Feet,South-West,3.5,2 Cars  & 4 Bikes,Full-Furnished
Rs. 1.1 Lac/m,"Narayanthan , Kathmandu",,4,4,2500 Sq. Ft.,15 Feet,North,2.5,2 Cars  & 3 Bikes,Full-Furnished
Rs. 2.9 Cr,"Tikathali, Lalitpur",,6,4,,13 Feet,East,3,1 Car  & 2 Bikes,Full-Furnished
Rs. 2.2 Cr,"Imadol, Lalitpur",,6,4,,13 Feet,North,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 2.25 Cr,"Imadol, Lalitpur",,6,4,,13 Feet,East,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 2.95 Cr,"Shital Height, Lalitpur",,6,4,,13 Feet,West,3,1 Car  & 2 Bikes,Full-Furnished
"Rs. 80,000 /m","Dhumbarahi, Kathmandu",,7,4,800 Sq. Ft.,16 Feet,South-East,2.5,1 Car  & 2 Bikes,Un-Furnished
Rs. 2.5 Lac/m,"Manbhawan, Lalitpur",,6,4,,20 Feet,South,2.5,2 Cars  & 3 Bikes,Full-Furnished
Rs. 3.9 Cr,"Tikathali, Lalitpur",,6,4,,13 Feet,South,3,1 Car  & 2 Bikes,Full-Furnished
Rs. 5.5 Cr,"Shital Height, Lalitpur",,6,5,,16 Feet,South,3,1 Car  & 2 Bikes,Full-Furnished
Rs. 1.75 Cr,"Tikathali, Lalitpur",,5,3,,13 Feet,South,2.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 1 Lac/m,"Budhanilkantha, Kathmandu",,4,2,,13 Feet,South,1.5,1 Car  & 2 Bikes,Full-Furnished
Rs. 7.5 Cr,"Bhaisepati, Lalitpur",,5,3,,13 Feet,South,3,1 Car  & 2 Bikes,Full-Furnished
Rs. 2.7 Cr,"Tikathali, Lalitpur",,5,2,,13 Feet,West,3,1 Car  & 2 Bikes,Semi-Furnished
